"fed_2012","licences","ratio","age","sex","federation"
111,35,1.27115566209051,"30_44","f","Fédération Française de football"
111,0,0,"75_99","f","Fédération Française de football"
111,741,51.3727121464226,"5_9","all","Fédération Française de football"
111,9,1.21736778033275,"75_99","h","Fédération Française de football"
111,7,0.41371158392435,"60_74","f","Fédération Française de football"
111,0,0,"0_4","f","Fédération Française de football"
111,107,3.65999657944245,"60_74","all","Fédération Française de football"
111,1445,49.2602440853617,"30_44","h","Fédération Française de football"
111,1480,26.0251811211929,"30_44","all","Fédération Française de football"
111,18,0.694444444444444,"45_59","f","Fédération Française de football"
111,100,8.11951932445599,"60_74","h","Fédération Française de football"
111,1691,27.4695820269985,"20_29","all","Fédération Française de football"
111,446,19.7222959228796,"45_59","h","Fédération Française de football"
113,29,4.18349682631275,"10_14","h","Fédération Française de gymnastique"
113,10,0.32918559483837,"20_29","h","Fédération Française de gymnastique"
113,22,2.17090980856523,"15_19","h","Fédération Française de gymnastique"
113,777,2.72670805273741,"all","all","Fédération Française de gymnastique"
113,40,1.28283249414708,"20_29","f","Fédération Française de gymnastique"
113,10,0.340901343151292,"30_44","h","Fédération Française de gymnastique"
113,41,5.67238516878805,"5_9","h","Fédération Française de gymnastique"
113,39,2.36779794790844,"0_4","all","Fédération Française de gymnastique"
113,16,1.88902007083825,"0_4","h","Fédération Française de gymnastique"
113,237,16.4309484193012,"5_9","all","Fédération Française de gymnastique"
113,9,0.397983550013266,"45_59","h","Fédération Française de gymnastique"
113,146,1.08309408823508,"all","h","Fédération Française de gymnastique"
113,52,1.88857412653447,"30_44","f","Fédération Française de gymnastique"
113,195,28.5212812637122,"10_14","f","Fédération Française de gymnastique"
113,74,3.44972262365391,"15_19","all","Fédération Française de gymnastique"
113,631,4.20218433670751,"all","f","Fédération Française de gymnastique"
113,52,4.59485729433595,"15_19","f","Fédération Française de gymnastique"
113,42,1.62037037037037,"45_59","f","Fédération Française de gymnastique"
113,2,0.131104555883317,"75_99","f","Fédération Française de gymnastique"
113,8,0.649561545956479,"60_74","h","Fédération Française de gymnastique"
113,51,0.828473496970386,"20_29","all","Fédération Française de gymnastique"
113,2,0.0883080183680678,"75_99","all","Fédération Française de gymnastique"
113,224,16.2696106914585,"10_14","all","Fédération Française de gymnastique"
113,36,1.23140071831709,"60_74","all","Fédération Française de gymnastique"
113,28,1.6548463356974,"60_74","f","Fédération Française de gymnastique"
113,52,1.0714138542053,"45_59","all","Fédération Française de gymnastique"
